"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"2305209","Hidrolândia (CE)","96253","101944","114904","124095","135880","143185","143211"
"2305233","Horizonte (CE)","1141813","1195454","1405696","1287176","1456369","1597151","1704636"
"2305266","Ibaretama (CE)","52687","57737","71207","75499","82170","95306","94426"
"2305308","Ibiapina (CE)","131469","172037","163510","162278","191686","233072","281871"
"2305332","Ibicuitinga (CE)","51857","60583","76100","83077","81251","92929","88293"
"2305357","Icapuí (CE)","193159","220357","248389","228665","245693","278155","337872"
"2305407","Icó (CE)","373109","416179","493236","562942","538447","559456","552394"
"2305506","Iguatu (CE)","1087847","1180314","1448551","1360229","1422458","1502169","1613278"
"2305605","Independência (CE)","141414","159655","188708","195207","209824","230528","234225"
"2305654","Ipaporanga (CE)","44816","50505","69382","63780","73841","78959","75061"
"2305704","Ipaumirim (CE)","58802","67346","79035","82031","91934","102851","113476"
"2305803","Ipu (CE)","220979","261073","287923","315015","335395","378323","391161"
"2305902","Ipueiras (CE)","166193","187840","201862","210201","219442","248518","245673"
"2306009","Iracema (CE)","80328","91526","116766","119625","125043","141423","138812"
"2306108","Irauçuba (CE)","110957","124748","142973","148674","160347","168328","159989"
"2306207","Itaiçaba (CE)","37920","43681","50873","57522","57201","69654","64206"
"2306256","Itaitinga (CE)","279556","352105","435972","575677","570233","663650","703610"
"2306306","Itapajé (CE)","383759","450431","521958","497620","526509","550017","557102"
"2306405","Itapipoca (CE)","928073","1002563","1197646","1191433","1329820","1560337","1648264"
"2306504","Itapiúna (CE)","73321","90332","104732","112505","123077","135105","131339"
"2306553","Itarema (CE)","248662","353145","379133","396508","433558","770373","737895"
"2306603","Itatira (CE)","66495","92720","107405","114214","112348","130468","122391"
"2306702","Jaguaretama (CE)","94279","107965","129820","136631","141990","149931","154739"
"2306801","Jaguaribara (CE)","101346","121204","140557","140831","123111","130346","128850"
"2306900","Jaguaribe (CE)","309005","347615","419278","485151","451543","511615","582187"
"2307007","Jaguaruana (CE)","261369","292202","354774","396821","364368","404008","396840"
"2307106","Jardim (CE)","123441","146767","178308","174486","177567","194304","205432"
"2307205","Jati (CE)","34018","41041","66419","75985","79408","90501","96279"
"2307254","Jijoca de Jericoacoara (CE)","124122","138753","185465","216640","268007","310187","347488"
"2307304","Juazeiro do Norte (CE)","2829796","3232446","3819082","3921616","4183987","4428414","4820056"
"2307403","Jucás (CE)","117542","140205","176396","172725","176488","187388","223555"
"2307502","Lavras da Mangabeira (CE)","136970","157668","190143","232094","219964","249151","257074"
"2307601","Limoeiro do Norte (CE)","575849","782694","809847","817926","924249","916986","946141"
"2307635","Madalena (CE)","86303","90255","113448","126213","127340","139510","128108"
"2307650","Maracanaú (CE)","5321236","6291122","7029386","7896114","8100726","8540212","10456282"
"2307700","Maranguape (CE)","913070","944514","1059587","1140316","1259097","1368102","1498306"
"2307809","Marco (CE)","196904","207680","248602","261287","272481","312089","322684"
"2307908","Martinópole (CE)","35652","49960","56520","62843","70372","77394","75696"
"2308005","Massapê (CE)","143290","165867","196023","207039","227628","255896","274485"
"2308104","Mauriti (CE)","249374","251363","316347","316619","336676","371102","404084"
"2308203","Meruoca (CE)","59196","66688","72441","79926","88144","96490","100428"
"2308302","Milagres (CE)","139412","160552","196253","192052","199219","222861","226465"
"2308351","Milhã (CE)","70552","75322","90979","90187","111637","126516","128104"
"2308377","Miraíma (CE)","58245","58155","67366","73043","77371","86790","85475"
"2308401","Missão Velha (CE)","197752","204972","297139","502539","330808","616402","484487"
"2308500","Mombaça (CE)","177151","205153","243906","258940","306144","318434","324686"
"2308609","Monsenhor Tabosa (CE)","75250","83661","100418","106164","121232","126566","127665"
"2308708","Morada Nova (CE)","479291","629723","639399","692613","753413","842433","957760"
"2308807","Moraújo (CE)","34867","40079","67799","73751","60819","62690","62053"
"2308906","Morrinhos (CE)","87787","93610","113073","125801","134692","147899","138555"
"2309003","Mucambo (CE)","61778","68813","77239","83003","93881","96768","96862"
"2309102","Mulungu (CE)","74671","70613","77877","87881","84996","125254","117058"
"2309201","Nova Olinda (CE)","81422","96906","121364","123904","117841","141025","128999"
"2309300","Nova Russas (CE)","175885","197935","235284","247084","261717","272470","267962"
"2309409","Novo Oriente (CE)","116712","136549","170447","174654","176828","212351","200432"
"2309458","Ocara (CE)","94733","104261","136287","140712","150231","172265","176813"
"2309508","Orós (CE)","139393","144142","171995","170348","191487","181332","171787"
"2309607","Pacajus (CE)","721410","778970","929253","940023","1001708","1064432","1142383"
"2309706","Pacatuba (CE)","693010","802513","972488","939811","949993","1035916","1165493"
"2309805","Pacoti (CE)","78109","91982","114451","99316","124959","165597","106768"
"2309904","Pacujá (CE)","30061","32712","37116","40051","43465","47602","47216"
"2310001","Palhano (CE)","42963","52839","63154","62302","63795","76962","77080"
"2310100","Palmácia (CE)","61559","58579","89085","82823","83520","100907","92730"
"2310209","Paracuru (CE)","342303","370570","425149","405883","415286","475887","488166"
"2310258","Paraipaba (CE)","224777","265461","329698","355526","411002","357111","390494"
"2310308","Parambu (CE)","130924","149030","175492","198473","206119","204761","210674"
"2310407","Paramoti (CE)","51688","72581","66194","74645","78644","95832","93287"
"2310506","Pedra Branca (CE)","173651","204011","234580","249474","266683","281948","290182"
"2310605","Penaforte (CE)","56729","65997","83520","85837","89183","107363","211774"
"2310704","Pentecoste (CE)","389496","350736","314391","335342","367405","405039","407785"
"2310803","Pereiro (CE)","72845","83447","99647","153921","212943","315992","308230"
"2310852","Pindoretama (CE)","120177","135303","168287","184212","208294","221102","243740"
"2310902","Piquet Carneiro (CE)","68499","80284","97901","105633","116483","122367","122205"
"2310951","Pires Ferreira (CE)","39600","42663","45775","44278","49087","57106","58083"
"2311009","Poranga (CE)","45736","54130","62989","66631","69879","77866","75282"
"2311108","Porteiras (CE)","72262","81974","96956","106836","124356","136554","148091"
"2311207","Potengi (CE)","55033","66036","87152","80740","75663","94830","87399"
"2311231","Potiretama (CE)","28815","32100","39980","43412","49556","53937","56349"
"2311264","Quiterianópolis (CE)","102209","101601","139967","127407","141227","166934","145185"
"2311306","Quixadá (CE)","681760","733060","821399","894136","971818","937401","1039104"
"2311355","Quixelô (CE)","84206","90249","108577","107327","120304","127331","118465"
"2311405","Quixeramobim (CE)","552448","603448","712913","746318","871205","1037971","1061279"
"2311504","Quixeré (CE)","284425","490581","496721","387109","321960","382897","421559"
"2311603","Redenção (CE)","173558","202153","238894","268426","243968","335447","453820"
"2311702","Reriutaba (CE)","107941","120055","133607","140349","146836","190648","186795"
"2311801","Russas (CE)","732100","777481","886849","904223","916892","1129464","1099783"
"2311900","Saboeiro (CE)","63519","71996","85658","88688","106260","129449","127023"
"2311959","Salitre (CE)","73820","92767","116297","99370","106349","118073","108507"
"2312007","Santana do Acaraú (CE)","131518","150334","177993","184460","194406","213896","216023"
"2312106","Santana do Cariri (CE)","81924","93678","120441","108196","106561","132741","121975"
"2312205","Santa Quitéria (CE)","264124","298641","352190","373312","397700","444169","441131"
"2312304","São Benedito (CE)","337385","347902","380826","379048","429676","475176","506864"
"2312403","São Gonçalo do Amarante (CE)","462603","822595","1444778","1853784","2361426","3083998","4225065"
"2312502","São João do Jaguaribe (CE)","54535","72701","74634","82085","96517","94531","89694"
"2312601","São Luís do Curu (CE)","67191","74820","87265","90846","94690","96095","104059"
"2312700","Senador Pompeu (CE)","166791","214365","244764","253455","290674","315027","305135"
"2312809","Senador Sá (CE)","31173","33356","39502","40665","42738","49705","52817"
"2312908","Sobral (CE)","2987979","3419143","3830449","3974674","4143824","4456661","4774447"
"2313005","Solonópole (CE)","85568","102405","118262","135730","163669","183440","192312"
"2313104","Tabuleiro do Norte (CE)","200457","232017","267727","267022","282813","330487","315424"
"2313203","Tamboril (CE)","115534","126912","156018","164216","193640","201168","204503"
"2313252","Tarrafas (CE)","42572","48193","60885","55215","53357","71509","60598"
"2313302","Tauá (CE)","337283","390250","493896","497673","515156","595586","600022"
"2313351","Tejuçuoca (CE)","66127","73464","88000","99043","109299","110241","105543"
"2313401","Tianguá (CE)","542870","681314","844070","867501","1047061","1248162","1312235"
"2313500","Trairi (CE)","377447","511212","601091","578552","644612","659097","824996"
"2313559","Tururu (CE)","59380","67906","84225","90784","95533","101257","104730"
"2313609","Ubajara (CE)","235889","277485","305766","336480","399742","509131","577313"
"2313708","Umari (CE)","31733","36236","41272","42930","46383","49084","53045"
"2313757","Umirim (CE)","78132","88297","101983","109338","122765","138782","153615"
"2313807","Uruburetama (CE)","233848","229445","267728","284403","382943","453854","355383"
"2313906","Uruoca (CE)","59636","66012","94155","116878","112883","148516","169139"
"2313955","Varjota (CE)","124891","132942","199368","151347","226886","253742","261646"
"2314003","Várzea Alegre (CE)","193159","221877","276656","281080","331370","347549","356440"
"2314102","Viçosa do Ceará (CE)","246311","291079","338870","331088","377603","413429","434715"
"2400109","Acari (RN)","87926","98156","105627","112644","109315","119101","115847"
"2400208","Açu (RN)","699354","818416","830663","853302","780970","894304","1095810"
"2400307","Afonso Bezerra (RN)","58794","65569","67542","79301","84824","95929","94908"
"2400406","Água Nova (RN)","19063","19942","21627","24111","24593","25490","26123"
"2400505","Alexandria (RN)","77498","92574","100071","112704","119003","125198","130589"
"2400604","Almino Afonso (RN)","27369","29979","31135","34276","34031","36038","37019"
"2400703","Alto do Rodrigues (RN)","411973","453270","641212","446954","409747","413531","482565"
"2400802","Angicos (RN)","90284","100524","108485","109781","120549","125964","137085"
"2400901","Antônio Martins (RN)","36984","40390","44291","45917","49822","52867","54804"
"2401008","Apodi (RN)","497093","541188","527793","418636","419171","471344","491942"
"2401107","Areia Branca (RN)","845835","878478","819133","668048","735957","562038","675718"
"2401206","Arês (RN)","295865","209709","247013","275387","293291","362317","447728"
"2401305","Augusto Severo (RN)","54633","81174","104138","74529","78044","83514","84199"
"2401404","Baía Formosa (RN)","106970","116256","133235","143906","131130","134750","149063"
"2401453","Baraúna (RN)","442935","579020","420297","588920","506333","507035","546284"
"2401503","Barcelona (RN)","26456","27692","29600","30533","32941","35278","36808"
"2401602","Bento Fernandes (RN)","31113","34670","37280","39951","40574","45790","47418"
"2401651","Bodó (RN)","21183","42023","82117","38695","41438","221682","321315"
"2401701","Bom Jesus (RN)","53760","61214","63745","70983","73904","80674","82725"
"2401800","Brejinho (RN)","107149","116289","128575","123748","136235","151333","151670"
"2401859","Caiçara do Norte (RN)","39496","43581","42979","52517","61499","69413","73589"
"2401909","Caiçara do Rio do Vento (RN)","23205","27832","29761","31163","33435","33446","34732"
"2402006","Caicó (RN)","797770","883798","932199","981991","1060507","1145233","1184463"
"2402105","Campo Redondo (RN)","53896","57759","63602","68791","70996","77545","81971"
"2402204","Canguaretama (RN)","318971","358161","365938","418688","408706","478722","524410"
"2402303","Caraúbas (RN)","334254","343642","296263","271748","242807","304021","355928"
"2402402","Carnaúba dos Dantas (RN)","58614","64566","70780","76561","77561","80776","82745"
"2402501","Carnaubais (RN)","229498","192098","207508","150297","100150","119906","163713"
"2402600","Ceará-Mirim (RN)","578965","663989","701637","738018","784614","808680","849205"
"2402709","Cerro Corá (RN)","74325","82163","83105","100412","107434","144438","154129"
"2402808","Coronel Ezequiel (RN)","28565","33655","35074","41596","41142","42805","44472"
"2402907","Coronel João Pessoa (RN)","28425","30935","33280","35880","37256","40150","43904"
"2403004","Cruzeta (RN)","75759","73886","444758","88400","88642","96955","97159"
"2403103","Currais Novos (RN)","526835","586499","570962","622689","630185","721961","695678"
"2403202","Doutor Severiano (RN)","36974","42511","45955","48130","50435","53849","57274"
"2403251","Parnamirim (RN)","3516135","4136921","4383204","4627678","5210838","5023625","5197196"
"2403301","Encanto (RN)","26539","31374","34372","36805","40780","42127","43630"
"2403400","Equador (RN)","45809","46063","45692","62697","64110","64753","63871"
"2403509","Espírito Santo (RN)","46274","52162","55387","62468","66520","72127","74985"
"2403608","Extremoz (RN)","212643","247013","263242","306875","355123","387253","406664"
"2403707","Felipe Guerra (RN)","114941","120935","111136","83963","67376","76307","98732"
"2403756","Fernando Pedroza (RN)","18421","22658","23042","24413","26017","31964","30599"
"2403806","Florânia (RN)","58524","63314","73850","82181","82183","81113","88046"
"2403905","Francisco Dantas (RN)","18439","25161","25909","23178","23302","24793","25199"
"2404002","Frutuoso Gomes (RN)","26419","28935","29949","34608","30293","35349","36405"
"2404101","Galinhos (RN)","53580","55630","51501","65383","66016","68345","70962"
"2404200","Goianinha (RN)","203078","233762","262185","295877","311906","358844","378665"
"2404309","Governador Dix-Sept Rosado (RN)","285856","266776","271389","202166","147879","205510","262925"
"2404408","Grossos (RN)","155485","155172","138403","130515","111178","131996","153846"
"2404507","Guamaré (RN)","19046","14199","260612","1241923","1875112","1624965","1391830"
"2404606","Ielmo Marinho (RN)","74414","83075","92411","93899","96307","103448","105492"
"2404705","Ipanguaçu (RN)","97838","112535","120512","121487","136220","133261","135413"
"2404804","Ipueira (RN)","15904","17996","20157","21812","22999","25977","25715"
"2404853","Itajá (RN)","54993","57079","64015","65893","66120","84251","82039"
"2404903","Itaú (RN)","38874","45782","43690","44304","46220","48106","53877"
"2405009","Jaçanã (RN)","42574","53300","52797","56753","55997","60725","62040"
"2405108","Jandaíra (RN)","38122","44740","47821","62240","190240","74772","69207"
"2405207","Janduís (RN)","38186","42985","45083","53121","55277","60901","65877"
"2405306","Januário Cicco (RN)","47658","50788","55684","58493","62108","65985","67186"
"2405405","Japi (RN)","26724","31836","31413","34819","36935","39533","38792"
"2405504","Jardim de Angicos (RN)","17027","20292","19958","23705","22853","25461","27389"
"2405603","Jardim de Piranhas (RN)","108247","136791","143574","146670","119487","128335","134139"
"2405702","Jardim do Seridó (RN)","102496","110555","117725","129906","140110","154907","159575"
"2405801","João Câmara (RN)","313814","479389","528025","820754","981329","1046611","1026019"
"2405900","João Dias (RN)","15064","16813","18419","19221","18853","20934","21624"
"2406007","José da Penha (RN)","32241","36408","41419","44906","43519","48808","52205"
"2406106","Jucurutu (RN)","120222","132980","162824","176071","185768","214336","223688"
"2406155","Jundiá (RN)","20200","23018","25119","27245","28485","32885","33351"
"2406205","Lagoa d'Anta (RN)","35897","39106","40492","46597","48441","50504","55027"
"2406304","Lagoa de Pedras (RN)","37302","44019","46571","53196","54243","58249","60640"
"2406403","Lagoa de Velhos (RN)","20718","24326","23942","30189","29705","31108","32157"
"2406502","Lagoa Nova (RN)","106752","147386","153865","130345","141617","262202","308029"
"2406601","Lagoa Salgada (RN)","43974","58307","48420","57264","58352","66345","70465"
"2406700","Lajes (RN)","81372","93298","94236","100467","108299","120433","120115"
"2406809","Lajes Pintadas (RN)","28266","31074","34571","37450","39639","41041","41989"
"2406908","Lucrécia (RN)","26795","32650","34551","40527","35215","41757","51309"
"2407005","Luís Gomes (RN)","53756","56978","61292","62998","63155","68792","71510"
"2407104","Macaíba (RN)","1324907","1389129","1355845","1454040","1365318","1479503","1516820"
"2407203","Macau (RN)","952506","961749","922011","791519","544353","593501","759120"
"2407252","Major Sales (RN)","19491","22361","31073","33035","31408","34828","36420"
"2407302","Marcelino Vieira (RN)","46423","50471","53371","58609","59265","62169","64840"
"2407401","Martins (RN)","50746","56771","62352","67913","73978","81840","78391"
"2407500","Maxaranguape (RN)","67050","81277","87939","97872","102851","109024","119103"
"2407609","Messias Targino (RN)","48743","56734","65286","65679","62647","76814","80157"
"2407708","Montanhas (RN)","58357","66715","71478","80179","83206","88586","92114"
"2407807","Monte Alegre (RN)","129888","150232","162869","179894","191985","208380","211511"
"2407906","Monte das Gameleiras (RN)","14778","17856","19700","19369","18787","21960","24536"
"2408003","Mossoró (RN)","5721302","6151752","6229278","5994319","5818423","6167477","6524083"
"2408102","Natal (RN)","16542636","18465101","19100605","20591133","21861053","23458658","23803673"
"2408201","Nísia Floresta (RN)","220382","268034","295976","329124","338527","356995","410721"
"2408300","Nova Cruz (RN)","291204","325213","358996","411902","446884","462046","476356"
"2408409","Olho d'Água do Borges (RN)","26325","30728","32638","33558","33690","34520","36668"
"2408508","Ouro Branco (RN)","31565","35116","39058","41756","43195","47201","48536"
"2408607","Paraná (RN)","20712","26033","28001","29768","29467","33023","33245"
"2408706","Paraú (RN)","24851","32224","31599","32554","34090","40709","39214"
"2408805","Parazinho (RN)","346137","196674","204263","225963","322451","423165","443110"
"2408904","Parelhas (RN)","200185","227210","232717","310961","300894","322338","329729"
"2408953","Rio do Fogo (RN)","78418","91656","114684","109857","110182","170511","166622"
"2409100","Passa e Fica (RN)","75541","79876","85785","99166","94217","107594","107190"
"2409209","Passagem (RN)","19895","23983","24721","26495","29576","30554","32029"
"2409308","Patu (RN)","83090","90793","94459","106214","106464","129588","135923"
"2409332","Santa Maria (RN)","38252","45819","52208","57947","49237","65390","67720"
"2409407","Pau dos Ferros (RN)","315001","338782","362903","404786","429044","493223","513598"
"2409506","Pedra Grande (RN)","35133","39847","36803","148360","180628","206954","213891"
"2409605","Pedra Preta (RN)","17581","19116","20429","23007","23834","24973","28195"
"2409704","Pedro Avelino (RN)","37860","42118","45221","49782","51489","54327","55614"
"2409803","Pedro Velho (RN)","78229","90164","101647","109705","117495","123266","123555"
"2409902","Pendências (RN)","328110","369347","324726","279824","224128","284538","480471"
"2410009","Pilões (RN)","23802","25246","29870","32006","32865","35075","35708"
"2410108","Poço Branco (RN)","71652","82757","89516","93298","96626","107190","108446"
"2410207","Portalegre (RN)","43697","46087","47547","53194","53888","59757","60553"
"2410256","Porto do Mangue (RN)","272060","249993","207416","123185","83444","117667","155326"
"2410306","Serra Caiada (RN)","51239","55984","59477","66639","71644","77804","78569"
"2410405","Pureza (RN)","53459","65568","61877","70626","79489","127852","119027"
"2410504","Rafael Fernandes (RN)","27611","31341","32938","37580","39365","40514","42320"
"2410603","Rafael Godeiro (RN)","19185","21466","22284","23645","26685","28890","31269"
"2410702","Riacho da Cruz (RN)","19617","22154","24034","26267","27888","30481","30945"
"2410801","Riacho de Santana (RN)","25035","26933","30231","29814","30152","31380","34912"
"2410900","Riachuelo (RN)","46118","49977","52351","55890","60695","64291","67471"
"2411007","Rodolfo Fernandes (RN)","23955","29071","30641","33940","35430","39998","40969"
"2411056","Tibau (RN)","49585","56103","62916","86357","73744","79956","95664"
"2411106","Ruy Barbosa (RN)","22200","23985","25737","27935","30443","29806","31749"
"2411205","Santa Cruz (RN)","294413","342496","384089","414406","461489","562261","570225"
"2411403","Santana do Matos (RN)","100269","99175","141618","121012","113283","124274","121077"
"2411429","Santana do Seridó (RN)","29515","30715","31735","33381","37369","38557","40043"
"2411502","Santo Antônio (RN)","139731","162643","169983","191327","209087","216175","224414"
"2411601","São Bento do Norte (RN)","30340","38139","43736","76519","105101","196460","199777"
"2411700","São Bento do Trairí (RN)","22465","26135","27747","30359","33445","34817","37491"
"2411809","São Fernando (RN)","33296","38860","43172","49903","47436","48863","48846"
"2411908","São Francisco do Oeste (RN)","23561","28506","30203","32413","43755","38685","41726"
"2412005","São Gonçalo do Amarante (RN)","1338453","1560568","1664023","1731788","1342598","1414685","1482829"
"2412104","São João do Sabugi (RN)","37974","44404","46911","51820","51472","56257","59397"
"2412203","São José de Mipibu (RN)","559726","606617","649068","681596","654217","762501","773095"
"2412302","São José do Campestre (RN)","62316","66993","77125","83629","89745","94086","92758"
"2412401","São José do Seridó (RN)","44008","48960","54568","62411","72521","101471","106705"
"2412500","São Miguel (RN)","140666","159930","180831","192239","207744","218349","224989"
"2412559","São Miguel do Gostoso (RN)","58774","66706","87337","159211","318957","419572","420154"
"2412609","São Paulo do Potengi (RN)","127080","127173","125611","139811","147512","162670","167066"
"2412708","São Pedro (RN)","41554","44482","47151","52084","53919","58984","59164"
"2412807","São Rafael (RN)","50272","58737","58580","65909","66458","70221","74532"
"2412906","São Tomé (RN)","58356","69262","71929","80223","85948","90449","99933"
"2413003","São Vicente (RN)","37209","42956","43300","50677","59643","62950","68459"
"2413102","Senador Elói de Souza (RN)","31501","33310","35489","38402","41354","43396","44758"
"2413201","Senador Georgino Avelino (RN)","59018","72925","80064","90488","99012","102989","126497"
"2413300","Serra de São Bento (RN)","27253","31080","33400","37160","39823","45007","44729"
"2413359","Serra do Mel (RN)","115959","119733","120690","108622","148846","306571","329054"
"2413409","Serra Negra do Norte (RN)","51983","59261","64358","71203","75779","73353","77180"
"2413508","Serrinha (RN)","39371","44749","47739","50790","49552","54688","57296"
"2413557","Serrinha dos Pintos (RN)","24818","28095","31247","34040","34777","37323","40132"
"2413607","Severiano Melo (RN)","36027","40449","40981","38560","38504","41443","41066"
"2413706","Sítio Novo (RN)","27610","31075","32615","37255","39324","42034","41263"
"2413805","Taboleiro Grande (RN)","16831","19318","20572","21200","23390","25076","25575"
"2413904","Taipu (RN)","110146","111438","101443","101084","106528","120768","112217"
"2414001","Tangará (RN)","98253","107650","112045","120137","133264","137350","138339"
"2414100","Tenente Ananias (RN)","61241","68562","72424","76051","76639","83173","85853"
"2414159","Tenente Laurentino Cruz (RN)","35504","38540","39421","53401","56382","94070","112122"
"2414209","Tibau do Sul (RN)","183132","223628","258278","265087","287147","305228","336560"
"2414308","Timbaúba dos Batistas (RN)","16286","21011","23273","26464","28279","30008","31214"
"2414407","Touros (RN)","259813","310227","354624","398534","407063","676606","662054"
"2414456","Triunfo Potiguar (RN)","21161","31533","32772","40698","38454","41115","41769"
"2414506","Umarizal (RN)","82984","95541","100921","108764","114926","129502","128302"
"2414605","Upanema (RN)","137145","158405","163066","139912","119520","142009","179737"
"2414704","Várzea (RN)","28943","34167","34837","36901","38713","41813","44660"
"2414753","Venha-Ver (RN)","21862","24455","27826","30398","31180","35657","35044"
"2414803","Vera Cruz (RN)","66390","76841","83597","94176","97299","106737","108251"
"2414902","Viçosa (RN)","11566","12021","13484","14761","14978","15769","17283"
"2415008","Vila Flor (RN)","22603","26248","27385","31124","30460","36889","38430"
"2500106","Água Branca (PB)","49023","54926","64603","70799","75099","77222","80302"
"2500205","Aguiar (PB)","31362","35153","37811","39795","44336","47394","46376"
"2500304","Alagoa Grande (PB)","172724","195412","211284","225941","239625","266622","258816"
"2500403","Alagoa Nova (PB)","167736","237754","223175","257150","250824","225945","288307"
"2500502","Alagoinha (PB)","72202","71854","83955","91454","99535","108721","110292"
"2500536","Alcantil (PB)","27542","31086","35400","37136","38939","42305","42395"
"2500577","Algodão de Jandaíra (PB)","17422","18500","21068","22968","23138","25919","25740"
"2500601","Alhandra (PB)","376270","599945","714745","769657","862870","1110449","1225476"
"2500700","São João do Rio do Peixe (PB)","112870","127291","139262","153960","168174","171752","187034"
"2500734","Amparo (PB)","13686","16150","17052","20452","21776","24393","25605"
"2500775","Aparecida (PB)","48920","53873","64005","70396","72511","72219","78475"
"2500809","Araçagi (PB)","102483","116303","125860","137108","141696","167593","156070"
"2500908","Arara (PB)","63768","72036","78098","85473","90190","98835","101682"
"2501005","Araruna (PB)","104479","116358","128445","140410","154852","165493","166198"
"2501104","Areia (PB)","142751","164224","183448","193888","207746","232703","235521"
"2501153","Areia de Baraúnas (PB)","12666","13103","14515","15200","17102","18678","19979"
"2501203","Areial (PB)","33911","40094","46068","50277","51070","52057","52262"
"2501302","Aroeiras (PB)","93966","106980","116833","130727","137080","141195","153913"
"2501351","Assunção (PB)","23960","25626","28695","31497","34961","36966","37530"
"2501401","Baía da Traição (PB)","52109","59113","67152","70977","77383","79806","86183"
"2501500","Bananeiras (PB)","137026","165214","173428","198178","228549","232450","239239"
"2501534","Baraúna (PB)","24417","27644","31128","34622","37115","40503","42217"
"2501575","Barra de Santana (PB)","39480","46513","52565","62782","59930","63431","73623"
"2501609","Barra de Santa Rosa (PB)","83043","96562","103067","107755","114036","127545","127554"
"2501708","Barra de São Miguel (PB)","30631","35012","38683","40645","44710","46564","59116"
"2501807","Bayeux (PB)","916982","935970","1080212","1086768","1225858","1356045","1344220"
"2501906","Belém (PB)","107232","122209","135671","148363","154241","170525","182254"
"2502003","Belém do Brejo do Cruz (PB)","38239","43466","50798","55273","59225","64521","65110"
"2502052","Bernardino Batista (PB)","18084","19890","24461","26097","29139","31613","33372"
"2502102","Boa Ventura (PB)","27427","30312","34682","38285","38868","41912","43589"
"2502151","Boa Vista (PB)","102341","117910","109678","121272","126091","126851","156271"
"2502201","Bom Jesus (PB)","14567","18220","20041","23556","25327","26206","27385"
"2502300","Bom Sucesso (PB)","28124","29803","32961","34905","37947","41481","41791"
"2502409","Bonito de Santa Fé (PB)","61620","67990","78439","81485","84514","95009","91778"
"2502508","Boqueirão (PB)","128701","137186","155419","167891","171186","185220","207237"
"2502607","Igaracy (PB)","36718","40189","45457","47212","50448","51205","53864"
"2502706","Borborema (PB)","39297","46719","48780","52560","60366","62146","59497"
"2502805","Brejo do Cruz (PB)","72311","84041","96031","104158","112823","122278","126043"
"2502904","Brejo dos Santos (PB)","37958","40305","43591","46458","47912","51655","54101"
"2503001","Caaporã (PB)","350596","390225","400230","355038","306428","322159","330358"
"2503100","Cabaceiras (PB)","32267","35069","38328","43621","46646","48285","56957"
"2503209","Cabedelo (PB)","1932605","2030250","2292668","2414214","2482532","2895697","2740817"
"2503308","Cachoeira dos Índios (PB)","69060","78532","91900","103581","101089","109479","113325"
"2503407","Cacimba de Areia (PB)","20292","23811","28003","28216","29217","33111","34052"
"2503506","Cacimba de Dentro (PB)","83658","91236","101006","106008","114941","123894","128879"
"2503555","Cacimbas (PB)","32930","36349","42070","44565","49360","47318","54465"
"2503605","Caiçara (PB)","45268","50499","55627","55963","57420","59333","57754"
"2503704","Cajazeiras (PB)","688504","770339","904648","949025","1039264","1096133","1073292"
"2503753","Cajazeirinhas (PB)","20477","24038","25367","25532","27486","30468","32725"
"2503803","Caldas Brandão (PB)","43076","46359","48117","60939","63552","65966","67195"
"2503902","Camalaú (PB)","34352","38818","47015","52080","57267","59381","63286"
"2504009","Campina Grande (PB)","6315829","6574105","7535111","7956060","8373970","8650089","9202289"
"2504033","Capim (PB)","36846","41596","45220","49142","55124","60048","60329"
"2504074","Caraúbas (PB)","22914","25143","27329","30652","30998","34691","36430"
"2504108","Carrapateira (PB)","16505","19365","21664","22351","23423","25579","25800"
"2504157","Casserengue (PB)","38666","43579","47677","50288","54741","59294","60855"
"2504207","Catingueira (PB)","29054","33592","34159","35134","39543","40217","43428"
"2504306","Catolé do Rocha (PB)","226589","252503","296460","332309","363091","380058","398550"
"2504355","Caturité (PB)","46551","47635","55764","57600","51312","56763","55228"
"2504405","Conceição (PB)","103944","114057","131687","141440","153944","161118","171909"
"2504504","Condado (PB)","36339","41203","45879","50073","55313","57481","60345"
"2504603","Conde (PB)","434099","543629","563976","567721","592787","636152","704107"
"2504702","Congo (PB)","33091","38561","43752","47660","48462","50494","51967"
"2504801","Coremas (PB)","89764","101975","123553","130626","142259","141093","151123"
"2504850","Coxixola (PB)","12496","12839","13776","16704","18313","19190","20284"
"2504900","Cruz do Espírito Santo (PB)","93652","106313","117274","122568","135792","127580","133384"
"2505006","Cubati (PB)","41144","45383","50441","55592","56753","59221","62848"
"2505105","Cuité (PB)","121370","137790","156970","165524","178642","190743","206265"
"2505204","Cuitegi (PB)","32966","39307","43910","48327","52224","56891","57109"
"2505238","Cuité de Mamanguape (PB)","41903","45096","47336","50975","52528","55257","63421"
"2505279","Curral de Cima (PB)","33052","37090","38185","37114","40710","47210","48525"
"2505303","Curral Velho (PB)","13435","16758","19155","20616","21523","19978","22168"
"2505352","Damião (PB)","25360","30282","32377","35449","38981","41814","42266"
"2505402","Desterro (PB)","40403","44650","52405","53940","60153","59117","61046"
"2505501","Vista Serrana (PB)","20331","23071","25369","26738","29754","33191","34045"
"2505600","Diamante (PB)","36008","41101","44947","46827","49392","53269","53288"
"2505709","Dona Inês (PB)","53716","59258","66649","70012","77489","81255","80754"
"2505808","Duas Estradas (PB)","26621","30138","32315","36284","36297","37670","39580"
