codibge,UF,own_2011,own_2012,own_2013,own_2014,own_2015,own_2016,own_2017,own_2018,own_2019
431295,RS,330140.43,343149.05,362305.85,241427.70,218483.24,248898.48,315250.90,328563.86,364390.84
431300,RS,491937.47,491603.04,545707.75,554921.17,552000.45,694757.04,641318.66,602790.14,716328.05
431301,RS,426161.33,424982.28,470338.88,507678.88,428615.68,419497.67,480967.27,498028.73,545659.62
431303,RS,1006048.54,789096.75,812332.49,779636.17,873080.19,772379.85,744305.14,971798.43,1087867.58
431306,RS,4205240.98,3602358.21,4256506.77,3877618.93,3526834.29,3349147.97,4363227.12,4730669.28,4860608.21
431308,RS,385354.89,427320.65,457920.52,459080.91,476865.78,519617.90,478071.87,546636.93,712545.91
431310,RS,1138502.83,1144607.86,1431788.89,1480876.83,1577525.70,1624636.77,1783227.47,1798613.61,1913556.17
431320,RS,9822619.97,10717352.19,11080181.58,11625391.25,11769848.83,12114826.58,13745513.63,14439170.56,15708382.95
431330,RS,9652545.13,9737445.74,10272969.19,11277527.16,12166331.93,11288638.91,11745384.34,11404230.54,12274953.71
431333,RS,361155.07,295522.50,271379.52,316978.13,282438.38,305939.56,353134.08,468108.90,387868.15
431335,RS,432017.28,476360.67,520646.91,511176.24,524764.72,477378.34,536859.45,539482.03,656028.80
431337,RS,7846170.15,7984087.40,12692142.73,10861097.85,11355335.50,11630178.70,17845820.59,13060187.04,16153111.27
431339,RS,647019.30,787996.19,2165086.30,601865.45,365008.55,369197.71,787064.70,499896.03,453269.52
431340,RS,132393882.80,141378061.39,145595990.41,141997800.90,135062014.49,127244890.19,132678816.85,177762264.21,145369492.02
431342,RS,361105.25,355101.61,434134.05,366734.70,399332.97,412629.09,445906.83,426916.07,404543.58
431344,RS,196824.22,205691.47,276090.73,251564.61,213163.94,252889.86,254279.91,254761.18,295127.02
431346,RS,152945.93,162927.79,166140.97,202205.83,182094.64,156670.57,210741.32,210445.21,261578.23
431349,RS,294004.32,274211.70,330815.19,464457.22,346631.60,397342.48,408532.66,511052.20,506348.57
431350,RS,28964423.52,32751542.50,31404057.49,32260850.34,29901510.76,28870826.11,31726254.23,32156463.13,31941580.47
431360,RS,387132.54,442619.62,424243.71,475927.12,467048.07,479190.64,634545.36,603218.86,721966.41
431365,RS,6517266.84,5920493.83,6560281.12,6282916.58,6062834.65,6842474.31,6347194.23,6457667.77,7253218.00
431370,RS,7390063.20,7828580.97,8140470.21,10339315.14,9704215.64,11136935.91,8919026.39,9537630.81,12042466.90
431380,RS,791592.45,815122.58,790151.05,912699.94,840330.60,965589.18,1007943.04,1145320.45,1262570.94
431390,RS,14819716.68,17208782.61,20195749.65,18202198.86,17305389.90,16030043.40,17184592.15,19540601.50,22151866.75
431395,RS,1975563.50,2426767.21,2683173.72,2204036.50,1617099.09,1621234.93,3349380.28,3340387.46,3597872.09
431400,RS,1150624.18,1375729.52,1362045.11,1661555.20,1934915.65,1834817.29,1839026.23,1991823.26,2388531.55
431402,RS,865976.06,1012017.21,1602728.82,812835.39,776307.55,783241.23,871940.94,819514.38,979227.31
431403,RS,572601.18,710372.51,776193.55,762394.04,804343.61,796869.02,878079.83,906273.51,1087801.47
