codibge,UF,iptu_2011,iptu_2012,iptu_2013,iptu_2014,iptu_2015,iptu_2016,iptu_2017,iptu_2018,iptu_2019
431450,RS,553186.30,568947.39,602066.13,766123.09,672785.59,509469.71,527960.17,898709.45,1035544.91
431454,RS,0.00,0.00,145338.99,101992.63,94269.56,88401.35,159701.70,130770.53,130402.89
431455,RS,75648.49,73478.72,67544.22,84589.17,99588.37,99211.39,88287.51,91307.58,102145.09
431460,RS,679716.93,666051.03,750831.13,742198.13,724135.60,632993.76,701611.72,724174.00,718988.89
431470,RS,1094694.40,1174069.61,1174655.09,1282554.70,1251043.43,1284842.28,1407849.32,1467487.32,1596460.05
431475,RS,124785.58,124564.14,122866.88,218791.07,234749.75,214498.31,232637.21,245329.42,247579.24
431477,RS,145436.84,163414.20,170409.08,163885.20,143907.62,140735.53,219698.95,195744.13,225701.74
431478,RS,61519.90,70994.79,88066.73,82490.61,81798.21,82284.08,92802.03,95519.85,99626.74
431480,RS,2070578.38,2199467.83,2572015.34,2729554.48,2551263.08,2514047.55,3030727.59,5846768.14,7241127.18
431490,RS,538582466.18,519455474.76,507240137.13,550150448.25,550694904.39,683401007.76,630725282.08,661357392.77,647542830.56
431500,RS,134966.59,138087.49,137523.71,139186.34,97467.54,116311.71,419860.83,326891.39,363139.91
431505,RS,73140.62,59899.33,94840.65,68157.36,97303.67,76963.66,83875.51,77681.37,78125.94
431507,RS,67874.08,81364.75,105638.94,100821.27,81091.35,76584.28,98406.28,88786.21,87897.39
431510,RS,593125.77,726156.97,892343.22,892456.62,741292.31,796866.13,829379.64,1087603.35,957937.92
431513,RS,84325.22,106367.85,94767.98,95818.86,83845.45,72670.13,72987.38,82291.31,97887.27
431514,RS,96364.15,97557.76,102136.13,98711.84,104106.50,103051.94,120375.79,120073.47,118347.32
431515,RS,277006.43,274008.82,304347.91,260468.78,263895.61,277958.69,338369.24,309987.43,347367.34
431517,RS,49586.51,52469.08,49619.70,55364.53,54154.27,59441.66,61873.30,60726.68,69410.27
431520,RS,178498.44,164691.72,177326.39,198647.63,200721.08,214518.05,223039.94,223018.55,240475.67
431530,RS,1128515.84,1312496.71,1781764.25,1485087.05,1411830.31,1454826.19,1363960.84,1507692.61,1714192.37
431531,RS,28975.49,29900.54,29792.90,77493.13,75034.12,81910.78,83370.35,96811.06,83567.26
431532,RS,77420.79,80777.02,92266.24,89718.22,62720.23,100178.17,99975.90,126345.36,139785.96
431535,RS,403610.03,371664.08,478891.24,482061.39,471698.02,491391.71,576319.77,778935.63,730673.34
431540,RS,278369.08,295839.51,307220.18,286873.24,273534.60,296848.33,291423.81,350864.49,436598.01
431545,RS,126935.31,106705.17,134907.26,147584.07,140739.76,126917.18,144378.42,147803.84,145373.52
431550,RS,542627.61,562516.31,538810.19,831959.26,1095327.60,1081931.20,1027166.67,1391186.11,1707684.72
431555,RS,20046.25,32196.06,49820.51,43102.03,43251.31,42272.86,55742.80,51550.32,54793.20
431560,RS,21174821.56,21934205.14,22088933.21,22068785.46,19806848.75,19488106.65,22301302.50,21441848.58,23568499.93
431570,RS,3297277.91,3000362.92,3699786.97,2547476.65,2930012.25,2751563.23,3996830.02,2849237.23,3278099.17
431575,RS,266412.90,244342.53,293954.49,257908.73,267112.95,295861.01,381653.98,420758.19,456088.47
431580,RS,684921.00,750578.90,723618.28,819982.94,751867.41,839573.63,901199.54,934744.52,893179.01
431590,RS,457229.63,405866.85,465448.06,473118.38,508768.68,528239.18,504997.14,520920.07,552314.08
431595,RS,31932.39,38869.36,48207.55,48514.92,49740.37,49963.35,55245.45,58784.70,59810.29
431600,RS,932246.18,784408.30,1128382.59,1832251.67,2444125.59,2359472.70,2645709.96,2931732.62,2784936.69
431610,RS,538055.22,523504.45,648350.13,747550.82,884232.21,891238.18,935481.88,970609.66,1030510.58
431620,RS,167633.70,170729.32,208103.38,189458.28,204285.11,231529.42,239080.73,283464.36,299485.67
431630,RS,280344.69,309559.33,316009.37,313272.91,357438.36,313885.26,346201.38,355283.97,365793.09
431640,RS,1086067.30,1064168.52,1477047.83,1034560.96,1388893.97,2484633.85,1951220.58,1527376.25,1933262.49
431642,RS,80760.01,87095.04,92550.67,72634.87,81263.70,95362.58,106386.00,108487.25,101979.20
431643,RS,213878.11,251861.23,315443.17,278953.35,345121.15,314870.43,398498.61,546868.47,417198.37
431645,RS,865125.78,848075.64,1087492.78,2134481.53,983395.10,857179.76,1082694.90,1160895.06,1074512.67
431647,RS,105000.00,106509.05,127007.63,116041.33,121547.42,132691.19,152874.10,172176.41,182744.59
431650,RS,671471.52,598838.83,618366.87,615714.82,589350.77,638276.83,697006.10,989480.29,1164317.55
431660,RS,1245196.38,1533021.37,1436819.11,1638053.73,1558937.14,1411469.65,1668786.58,1456273.58,1778176.72
431670,RS,1357585.12,1357326.68,1289066.30,1425426.90,1622897.46,1247655.37,1870149.57,1695479.14,1621790.19
431673,RS,15756.33,625.72,586.39,28539.84,51730.76,58975.10,75442.46,71970.50,70515.41
431675,RS,788949.02,831700.41,977434.44,959570.73,963339.67,949155.38,1019192.86,1385405.34,1494752.34
431680,RS,20585876.94,21615728.97,23664341.05,24172967.72,27778726.88,37007190.31,31444242.76,33100109.78,33488599.17
431690,RS,37914258.71,42235388.51,45083985.62,41783202.67,41722511.14,45502843.09,47098406.96,51102884.43,54691565.90
431695,RS,556204.55,512412.57,612092.42,538507.08,611046.25,651591.47,770642.60,746816.16,803701.00
431697,RS,66504.49,53986.25,73259.52,62018.76,38356.39,43264.75,58406.37,54547.84,59444.85
431700,RS,382203.76,398304.06,422860.96,544241.54,536147.03,404938.22,452645.75,491070.10,458989.82
431710,RS,13335434.91,12573517.98,9987246.43,10459504.35,10892033.30,8914310.71,8974060.78,10959559.39,9435960.19
431720,RS,11779277.93,11875459.12,11989919.41,12072841.50,13567987.15,14031636.17,17911836.31,19438197.63,20799679.67
431725,RS,74840.13,80449.14,99467.25,80321.11,84531.87,73475.66,77290.90,72776.84,73493.38
431730,RS,5057823.82,4864115.80,7038369.39,5935929.01,5981120.64,6083433.81,6659434.46,6751940.12,8021733.35
431740,RS,6508931.87,6827015.59,7120016.07,7792442.69,7669041.80,7599848.81,8851192.58,8596676.71,8818255.01
431750,RS,14191269.06,12819607.08,13622778.65,13577954.57,11246309.05,10987515.07,11883506.31,14124399.87,14132181.94
431755,RS,82040.76,73422.11,108719.53,100482.60,98454.55,95827.49,124029.03,112198.94,125076.11
431760,RS,5374376.95,3807372.55,5764934.69,4810611.54,5349376.09,4746263.87,5859228.46,5948880.16,7453167.40
431770,RS,475623.43,499429.86,465007.40,522529.16,488508.48,516371.06,476731.83,611040.34,689359.03
431775,RS,215278.16,231276.79,255936.55,232292.27,267780.11,244705.39,262763.16,281441.92,269821.71
431780,RS,1154885.33,1189065.50,1163123.93,1262043.37,1190451.54,1212828.68,1326573.03,1492972.72,1511325.81
431790,RS,1040668.77,1036774.28,985754.56,1120965.84,1121674.32,1078473.43,1435005.79,1415118.84,1630182.22
431795,RS,36847.51,41241.43,39041.96,37439.04,36141.60,34807.19,33348.32,33331.15,44899.30
431800,RS,5305143.71,4487637.19,5823840.85,5676541.65,4807379.93,4568788.63,5244509.33,5128255.05,5846166.46
